ID,newlyConst,balcony,totalRent,yearConstructed,noParkSpaces,hasKitchen,livingSpace,lift,typeOfFlat,floor,garden,regio2,condition,lastRefurbish,energyEfficiencyClass
1,FALSE,FALSE,NA,1975,1,TRUE,65,FALSE,roof_storey,1,FALSE,Unna_Kreis,average,NO_INFORMATION,D/E/F/G/H
2,FALSE,TRUE,NA,1999,1,FALSE,61,FALSE,roof_storey,3,FALSE,Viersen_Kreis,good,NO_INFORMATION,NO_INFORMATION
3,FALSE,FALSE,390,1936,NA,FALSE,58,FALSE,roof_storey,2,FALSE,Höxter_Kreis,average,Over5Years,NO_INFORMATION
4,TRUE,TRUE,940,2020,1,FALSE,74.5,TRUE,apartment,2,FALSE,Paderborn_Kreis,good,NO_INFORMATION,NO_INFORMATION
5,TRUE,TRUE,763.35,2020,NA,FALSE,74.18,TRUE,ground_floor,0,FALSE,Bielefeld,good,NO_INFORMATION,NO_INFORMATION
6,FALSE,FALSE,475,1968,NA,FALSE,58,FALSE,apartment,2,FALSE,Recklinghausen_Kreis,average,NO_INFORMATION,NO_INFORMATION
7,FALSE,FALSE,NA,1957,NA,FALSE,58,FALSE,apartment,4,FALSE,Köln,average,NO_INFORMATION,NO_INFORMATION
8,FALSE,TRUE,1115,2001,NA,FALSE,85.82,TRUE,apartment,1,FALSE,Mettmann_Kreis,average,NO_INFORMATION,NO_INFORMATION
9,FALSE,TRUE,681.76,1962,NA,FALSE,62.19,FALSE,apartment,2,FALSE,Bochum,NO_INFORMATION,NO_INFORMATION,NO_INFORMATION
10,FALSE,TRUE,820.95,1985,NA,FALSE,74.7,TRUE,NA,2,FALSE,Soest_Kreis,good,Last5Years,NO_INFORMATION
11,FALSE,TRUE,653.75,1981,NA,FALSE,85,FALSE,apartment,2,FALSE,Dortmund,NO_INFORMATION,NO_INFORMATION,D/E/F/G/H
12,FALSE,TRUE,408,1972,NA,FALSE,41,FALSE,apartment,2,FALSE,Duisburg,NO_INFORMATION,NO_INFORMATION,NO_INFORMATION
13,FALSE,FALSE,1275,1957,NA,FALSE,68.76,TRUE,apartment,2,FALSE,Düsseldorf,NO_INFORMATION,NO_INFORMATION,NO_INFORMATION
14,FALSE,TRUE,565,1980,NA,TRUE,49.32,FALSE,roof_storey,2,FALSE,Mülheim_an_der_Ruhr,NO_INFORMATION,NO_INFORMATION,NO_INFORMATION
15,FALSE,TRUE,734.5,1968,NA,FALSE,77,FALSE,apartment,3,FALSE,Essen,average,NO_INFORMATION,NO_INFORMATION
16,FALSE,FALSE,NA,1954,NA,FALSE,49,FALSE,apartment,2,FALSE,Düsseldorf,good,Over5Years,NO_INFORMATION
17,FALSE,TRUE,366,2017,NA,TRUE,63,FALSE,half_basement,0,FALSE,Paderborn_Kreis,good,NO_INFORMATION,Aplus/A/B/C
18,FALSE,FALSE,619,1946,NA,FALSE,83.37,FALSE,apartment,2,TRUE,Gelsenkirchen,average,NO_INFORMATION,NO_INFORMATION
19,FALSE,TRUE,815,1972,NA,FALSE,82,FALSE,NA,2,FALSE,Rheinisch_Bergischer_Kreis,average,NO_INFORMATION,NO_INFORMATION
20,FALSE,TRUE,NA,1960,NA,FALSE,72.2,TRUE,apartment,5,FALSE,Gelsenkirchen,good,NO_INFORMATION,NO_INFORMATION
21,FALSE,TRUE,580,1951,NA,FALSE,53.03,FALSE,apartment,1,FALSE,Dortmund,NO_INFORMATION,NO_INFORMATION,NO_INFORMATION
22,FALSE,TRUE,470,1950,NA,FALSE,55,FALSE,apartment,2,TRUE,Krefeld,average,Last5Years,NO_INFORMATION
23,FALSE,FALSE,530,1942,NA,FALSE,72,FALSE,roof_storey,3,FALSE,Recklinghausen_Kreis,average,NO_INFORMATION,NO_INFORMATION
24,FALSE,TRUE,708,1999,1,FALSE,63.62,FALSE,penthouse,4,FALSE,Duisburg,average,NO_INFORMATION,NO_INFORMATION
25,FALSE,TRUE,1350,2016,1,FALSE,115,TRUE,apartment,1,FALSE,Wuppertal,good,NO_INFORMATION,NO_INFORMATION
26,FALSE,FALSE,605,1967,NA,TRUE,60,FALSE,roof_storey,4,FALSE,Mönchengladbach,average,NO_INFORMATION,NO_INFORMATION
27,FALSE,TRUE,642,1974,NA,TRUE,60.04,TRUE,apartment,15,FALSE,Mülheim_an_der_Ruhr,good,NO_INFORMATION,NO_INFORMATION
28,FALSE,TRUE,660,1994,1,FALSE,83.74,FALSE,roof_storey,3,TRUE,Essen,good,NO_INFORMATION,NO_INFORMATION
29,FALSE,TRUE,735,1978,NA,FALSE,81,FALSE,apartment,3,FALSE,Dortmund,NO_INFORMATION,NO_INFORMATION,D/E/F/G/H
30,FALSE,FALSE,450,1968,1,TRUE,45.1,TRUE,apartment,2,FALSE,Wuppertal,average,Over5Years,NO_INFORMATION
31,FALSE,TRUE,420,1965,NA,FALSE,45,FALSE,ground_floor,1,TRUE,Duisburg,good,Last5Years,NO_INFORMATION
32,FALSE,FALSE,594,1972,25,FALSE,66,TRUE,apartment,2,FALSE,Essen,average,NO_INFORMATION,NO_INFORMATION
33,FALSE,TRUE,660,1994,1,FALSE,60,FALSE,apartment,1,FALSE,Rhein_Erft_Kreis,average,NO_INFORMATION,NO_INFORMATION
34,FALSE,TRUE,1770,1957,NA,FALSE,100.35,FALSE,apartment,1,FALSE,Köln,average,Last5Years,NO_INFORMATION
35,FALSE,FALSE,399.13,1985,NA,FALSE,55.5,FALSE,apartment,2,FALSE,Remscheid,average,NO_INFORMATION,NO_INFORMATION
36,FALSE,TRUE,660,1971,0,FALSE,71,TRUE,apartment,4,TRUE,Duisburg,good,Last5Years,NO_INFORMATION
37,FALSE,FALSE,479.76,1956,NA,FALSE,53.5,FALSE,apartment,2,FALSE,Essen,average,Over5Years,NO_INFORMATION
38,FALSE,FALSE,583.4,1957,NA,FALSE,70.85,FALSE,apartment,1,TRUE,Duisburg,average,NO_INFORMATION,NO_INFORMATION
39,FALSE,TRUE,NA,1964,NA,FALSE,78.91,FALSE,apartment,2,FALSE,Märkischer_Kreis,NO_INFORMATION,NO_INFORMATION,D/E/F/G/H
40,FALSE,TRUE,640.85,1958,NA,FALSE,64.9,FALSE,apartment,1,FALSE,Recklinghausen_Kreis,NO_INFORMATION,NO_INFORMATION,NO_INFORMATION
41,FALSE,TRUE,517.05,2017,1,FALSE,61.39,TRUE,apartment,3,FALSE,Neuss_Rhein_Kreis,good,NO_INFORMATION,NO_INFORMATION
42,FALSE,FALSE,NA,1900,1,FALSE,67,FALSE,apartment,2,TRUE,Ennepe_Ruhr_Kreis,good,Last5Years,NO_INFORMATION
43,FALSE,TRUE,484,1968,NA,FALSE,58,TRUE,apartment,2,FALSE,Hagen,average,NO_INFORMATION,D/E/F/G/H
44,FALSE,TRUE,1600,1926,NA,TRUE,90,FALSE,terraced_flat,0,TRUE,Düsseldorf,good,Over5Years,NO_INFORMATION
45,FALSE,FALSE,617.42,1910,NA,FALSE,66,FALSE,apartment,2,FALSE,Essen,NO_INFORMATION,NO_INFORMATION,NO_INFORMATION
46,FALSE,FALSE,629,1951,NA,FALSE,67.05,FALSE,apartment,1,FALSE,Recklinghausen_Kreis,NO_INFORMATION,NO_INFORMATION,D/E/F/G/H
47,FALSE,TRUE,558,1952,NA,FALSE,45.38,FALSE,apartment,1,FALSE,Essen,NO_INFORMATION,NO_INFORMATION,NO_INFORMATION
48,FALSE,FALSE,690,1996,1,FALSE,75,FALSE,roof_storey,3,FALSE,Viersen_Kreis,average,NO_INFORMATION,NO_INFORMATION
49,FALSE,FALSE,NA,1912,NA,FALSE,148,FALSE,roof_storey,2,FALSE,Köln,good,Last5Years,D/E/F/G/H
50,FALSE,TRUE,566.56,1969,NA,FALSE,68.17,FALSE,NA,1,FALSE,Mettmann_Kreis,NO_INFORMATION,NO_INFORMATION,NO_INFORMATION
51,FALSE,TRUE,1853,2017,1,TRUE,133.9,TRUE,ground_floor,0,TRUE,Dortmund,good,NO_INFORMATION,Aplus/A/B/C
52,FALSE,FALSE,1195,1957,NA,FALSE,74.63,TRUE,apartment,2,FALSE,Düsseldorf,NO_INFORMATION,NO_INFORMATION,NO_INFORMATION
53,FALSE,TRUE,730,1995,NA,FALSE,78.05,FALSE,apartment,2,FALSE,Ennepe_Ruhr_Kreis,good,NO_INFORMATION,D/E/F/G/H
54,FALSE,TRUE,NA,1976,NA,FALSE,52,FALSE,apartment,3,FALSE,Düsseldorf,average,NO_INFORMATION,D/E/F/G/H
55,FALSE,TRUE,550,1976,1,FALSE,47,FALSE,apartment,1,TRUE,Unna_Kreis,average,NO_INFORMATION,D/E/F/G/H
56,FALSE,TRUE,462.55,1975,1,FALSE,62,FALSE,apartment,2,FALSE,Lippe_Kreis,average,Over5Years,NO_INFORMATION
57,FALSE,TRUE,585,1971,NA,FALSE,45,FALSE,ground_floor,0,FALSE,Wuppertal,good,Last5Years,NO_INFORMATION
58,FALSE,FALSE,460,1962,NA,TRUE,38.68,FALSE,ground_floor,0,FALSE,Duisburg,average,NO_INFORMATION,NO_INFORMATION
